state,county,community,communityname,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
4,77,281,363,0,13,66,15,5,90,41,36,42,33,33,15,63,48,68,16,44,34,40,39,46,33,37,40,22,32,34,34,6,18,33,36,36,31,60,20,26,35,28,39,50,42,42,78,62,52,66,60,81,80,5,30,28,36,43,52,56,94,96,97,99,0,58,88,81,74,74,70,48,85,63,0,6,79,47,10,18,22,5,28,75,74,70,73,66,80,66,54,66,12,7,14,95,33,52,38,60,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,2,95,97,6,4,62,1,0,14,0.24
27,77,281,1361,0,2,41,8,89,7,10,30,26,20,57,4,63,71,50,23,71,61,17,53,79,72,71,36,69,43,35,37,1,7,18,19,70,17,49,18,64,13,77,16,35,20,18,52,85,83,87,76,29,38,1,14,1,11,17,21,26,5,7,8,10,79,8,34,31,47,59,18,71,9,41,1,2,81,60,7,41,3,2,9,74,76,79,45,53,63,48,35,50,47,1,0,20,86,90,89,91,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,1,63,97,6,4,62,1,0,14,0.08
19,40,306,1058,0,3,42,1,94,13,2,25,22,18,52,4,63,79,52,18,84,49,7,49,81,78,77,62,14,54,17,42,1,7,7,7,86,23,53,29,70,10,86,11,33,16,14,43,87,86,85,71,31,47,0,3,1,25,28,26,24,13,13,11,10,84,5,18,19,47,50,23,82,2,25,1,1,86,76,0,24,14,1,15,71,69,68,60,81,98,86,36,38,31,0,0,22,64,81,65,71,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,3,18,59,6,4,62,1,0,14,0.06
44,100,177,599,0,1,39,0,96,4,1,31,43,30,23,2,40,45,74,41,70,26,10,16,46,41,40,38,32,9,13,71,0,7,20,22,40,12,74,67,21,42,45,35,34,23,28,40,88,88,86,80,54,59,0,8,0,8,6,25,21,1,0,2,1,93,5,14,14,42,58,17,64,4,45,1,1,84,53,5,19,41,8,7,19,18,18,35,31,30,28,12,34,17,1,0,3,84,42,46,67,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,8,4,0,6,4,62,1,0,14,0.09
4,100,177,364,0,4,31,1,83,14,26,28,36,28,31,5,63,70,64,42,52,23,14,30,69,79,82,29,37,53,28,34,2,18,11,14,56,18,66,28,32,15,59,58,45,64,62,28,66,64,85,57,28,29,1,10,3,69,74,70,68,65,61,53,47,71,32,26,22,36,32,43,46,21,54,1,10,35,48,0,17,38,7,7,88,92,95,96,90,98,86,51,80,13,0,11,40,40,30,50,51,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,2,40,15,6,4,62,1,0,14,0.21
13,37,787,523,0,3,29,6,91,3,3,35,31,26,58,0,0,17,39,81,46,60,37,35,20,22,21,16,12,46,33,24,3,33,30,37,22,31,40,38,45,48,34,48,29,41,45,31,55,56,59,50,62,70,1,19,0,5,4,3,12,0,0,0,1,92,3,14,12,29,34,20,61,4,53,1,4,68,56,41,45,12,24,44,4,4,5,10,12,12,12,36,19,23,1,0,3,83,59,73,76,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,4,15,4,6,4,62,1,0,14,0.3
27,0,1,9,0,15,26,40,61,14,6,54,62,63,47,16,63,21,49,10,48,46,39,45,29,29,34,23,13,20,20,26,15,48,30,38,45,36,42,8,70,21,51,48,89,41,45,29,20,21,23,17,59,64,13,73,5,39,39,46,45,21,19,20,18,78,8,22,13,18,28,20,23,10,60,0,22,56,20,78,58,0,40,26,23,23,23,31,31,34,32,48,34,27,23,2,23,78,40,52,78,6,29,26,33,5,20,20,29,36,62,15,1,5,12,10,9,22,6,39,83,6,6,63,1,70,26,0.49
25,44,59,396,0,1,48,1,92,20,3,30,29,25,36,2,39,78,74,13,74,42,15,50,74,69,67,38,0,51,96,58,0,4,10,18,56,10,66,42,34,21,64,23,35,21,22,45,88,84,95,72,49,47,0,4,1,15,26,32,29,9,14,15,13,79,4,20,21,54,53,32,88,4,27,1,1,80,84,25,52,16,3,8,50,49,50,80,75,94,79,65,51,45,0,0,26,62,79,73,71,6,29,26,33,5,20,20,29,36,62,15,1,5,12,10,9,22,3,9,21,6,6,63,1,0,26,0.07
12,44,59,1658,0,2,42,1,95,7,2,66,57,61,37,0,0,32,53,28,59,41,21,34,40,34,32,22,37,69,72,31,2,22,16,24,43,18,46,36,74,25,54,36,53,39,39,34,66,69,70,61,51,59,1,11,0,40,35,37,38,8,6,6,6,92,1,12,11,30,44,17,53,6,55,1,1,81,44,27,41,24,12,5,14,14,14,27,28,28,29,41,21,18,0,0,8,56,39,48,43,6,29,26,33,5,20,20,29,36,62,15,1,5,12,10,9,22,3,20,7,6,6,63,1,0,26,0.15
33,15,572,1375,0,0,36,5,94,1,1,33,27,22,55,1,22,22,31,33,48,68,36,81,23,22,21,24,15,0,0,27,1,28,27,38,17,71,23,39,32,49,32,29,24,23,26,34,76,70,81,87,43,30,0,6,0,0,0,0,0,0,0,0,0,91,2,10,12,43,40,39,82,4,42,1,1,67,81,31,82,21,5,18,8,9,10,6,11,13,19,15,19,18,0,0,2,96,90,77,91,6,29,26,33,5,20,20,29,36,62,15,1,5,12,10,9,22,9,3,5,6,6,63,1,0,26,0.03
4,15,572,1002,0,25,49,5,69,48,30,38,38,26,32,26,63,32,52,37,34,37,64,38,31,29,32,23,17,17,24,26,19,34,34,43,22,58,41,38,38,43,34,58,30,64,63,53,60,57,62,59,28,29,8,22,14,31,45,57,63,28,36,41,42,61,35,43,39,53,49,58,46,39,48,1,15,75,47,9,14,35,14,28,31,31,31,40,39,43,39,61,58,13,12,9,38,56,30,47,71,3,7,29,8,5,10,32,7,55,55,4,19,18,18,5,8,36,9,46,5,9,5,60,1,60,13,0.34
9,47,572,731,0,65,37,47,57,12,5,37,43,32,33,66,62,27,59,16,33,38,30,39,28,30,35,21,20,33,28,36,58,33,25,39,26,29,57,18,30,35,36,67,36,67,69,40,53,47,57,49,53,55,42,35,16,27,34,40,42,7,7,8,8,87,4,23,20,39,41,38,54,20,49,1,69,52,52,52,42,30,37,23,11,11,13,25,27,30,29,41,40,21,36,35,10,42,44,59,46,24,15,11,15,29,18,35,15,57,43,42,3,4,33,13,8,76,60,7,15,62,27,45,0,16,21,0.69
32,47,572,774,0,1,29,2,85,7,11,45,46,41,47,0,0,12,37,26,39,50,41,35,16,20,20,13,8,18,17,15,3,58,31,42,22,62,30,45,41,56,32,70,44,65,68,33,49,49,45,66,35,47,1,20,0,48,55,59,55,14,14,13,12,87,10,23,18,29,32,30,37,18,71,0,3,60,36,33,38,11,54,29,6,6,8,14,16,16,15,50,37,28,5,0,12,39,36,50,43,24,15,11,15,29,18,35,15,57,43,42,3,4,33,13,8,76,5,9,6,62,27,45,0,0,21,0.21
13,39,796,1488,0,11,38,4,87,9,6,41,38,29,46,13,63,21,49,44,46,54,41,33,24,25,25,16,7,20,19,18,10,36,29,37,25,32,51,43,44,44,31,46,34,44,46,42,59,57,49,64,66,70,5,26,2,49,59,62,63,11,11,11,10,89,9,27,24,40,43,33,63,12,56,0,9,72,59,45,41,9,34,25,5,4,5,14,16,16,16,40,19,29,5,1,9,70,57,71,62,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,16,12,7,4,1,53,2,41,9,0.63
4,39,796,386,0,2,88,5,0,90,90,50,48,37,33,0,0,15,58,41,11,47,92,22,11,8,20,14,11,17,18,17,5,63,96,98,8,97,20,9,23,32,14,26,44,32,29,91,54,42,40,58,45,46,3,43,6,36,42,53,59,94,96,97,99,0,93,98,95,95,93,97,38,93,63,0,1,79,40,15,27,26,52,90,14,12,10,18,21,21,21,46,54,13,0,0,95,41,53,69,72,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,2,22,2,4,1,53,2,0,9,0.31
5,39,796,590,0,0,28,2,89,16,9,51,53,51,31,2,63,28,61,60,54,28,15,35,31,34,34,27,15,15,30,31,1,30,11,18,52,29,54,33,50,31,56,58,68,62,60,21,58,56,73,57,63,66,0,7,0,79,77,69,60,29,25,20,17,85,3,8,8,21,25,21,48,9,61,0,2,62,45,10,32,31,19,18,22,20,21,32,30,31,27,51,58,26,0,0,15,32,30,35,42,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,2,15,16,4,1,53,2,0,9,0.12
4,39,796,561,0,6,44,46,0,90,43,31,40,30,34,8,63,34,65,16,33,34,38,28,33,32,32,38,17,37,28,29,4,25,35,46,23,34,55,62,20,42,30,53,54,61,58,51,47,43,59,44,54,48,5,49,10,39,47,59,64,80,83,95,96,23,65,46,40,48,43,54,29,77,79,0,5,75,31,8,10,20,15,34,54,52,50,60,56,61,55,58,47,6,0,0,86,37,56,81,70,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,1,77,21,4,1,53,2,0,9,0.84
30,45,524,1233,0,1,32,1,97,2,1,31,28,21,59,0,0,22,35,39,48,62,35,57,23,23,22,23,25,48,20,47,2,32,30,45,14,33,35,78,32,71,23,49,20,43,46,33,65,64,74,57,25,41,0,6,0,18,13,11,8,2,1,1,1,92,1,13,13,35,36,30,65,3,40,1,2,74,62,30,59,13,33,32,7,6,7,13,13,11,16,38,26,17,0,0,4,80,62,81,80,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,4,9,0,4,1,53,2,0,9,0.1
43,45,524,100,0,1,22,43,62,8,1,32,23,20,74,0,0,11,7,11,36,82,48,76,20,25,27,16,28,97,0,82,3,57,46,49,28,53,11,5,74,18,55,59,28,54,59,28,41,40,40,53,21,39,1,29,0,10,10,13,13,1,1,1,1,91,3,16,13,23,21,28,52,7,53,1,6,42,52,30,83,14,48,22,7,7,9,10,13,14,14,58,35,17,1,0,5,80,67,78,76,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,2,17,0,4,1,53,2,0,9,0.49
6,77,118,435,0,0,45,1,96,2,2,27,30,21,25,0,0,59,80,25,60,24,12,25,57,48,46,41,8,39,38,37,0,1,18,27,42,21,79,52,44,27,55,39,30,34,36,40,83,79,77,79,68,81,0,4,0,22,16,19,15,4,2,3,2,91,2,14,15,48,50,27,80,4,38,1,2,49,75,4,72,23,7,23,43,42,39,43,48,58,53,24,62,23,0,0,7,69,67,63,76,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,10,2,8,4,1,53,2,0,9,0.02
0,77,118,354,0,1,25,0,97,2,1,34,27,25,74,0,0,15,21,24,38,71,53,43,20,25,24,0,12,29,0,1,2,45,62,61,24,23,25,45,34,50,40,52,17,50,53,21,63,59,73,58,33,53,0,5,0,98,81,87,73,2,1,2,1,95,2,6,6,24,28,21,52,5,46,1,1,72,48,10,36,26,37,7,10,10,11,6,8,9,11,54,24,18,0,0,0,80,53,71,74,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,4,7,1,4,1,53,2,0,9,0.16
13,77,118,400,0,29,29,14,82,14,4,36,42,33,42,31,63,24,54,32,44,47,34,41,27,29,30,22,15,16,29,27,22,33,19,31,27,27,58,28,37,39,32,61,39,58,61,34,51,49,52,53,68,73,12,29,4,34,38,45,51,7,7,8,8,88,7,20,17,30,35,23,57,12,63,0,26,70,52,83,49,14,24,25,8,7,7,25,26,26,26,49,38,33,18,4,9,76,52,71,72,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,22,21,20,4,1,53,2,0,9,0.19
0,77,118,67,0,4,32,32,68,21,2,92,88,93,14,5,63,1,74,57,44,11,11,10,31,17,19,16,7,21,14,18,11,99,18,18,79,41,21,19,95,25,65,7,95,12,9,31,55,49,57,52,66,68,3,69,1,98,90,86,79,29,23,20,17,87,5,14,7,22,36,20,23,14,71,0,6,58,19,7,22,37,27,10,16,16,18,18,20,24,20,94,15,15,0,0,12,47,11,0,13,1,10,31,10,3,13,34,10,59,69,0,0,0,0,2,12,29,9,9,1,4,1,53,2,0,9,0.15
41,73,348,884,0,9,38,51,56,4,1,54,46,48,52,10,63,19,39,21,41,63,36,46,23,26,31,19,22,14,26,22,9,43,47,53,32,35,36,44,60,43,40,46,48,46,48,32,41,38,42,46,55,61,7,48,1,72,75,67,60,8,8,6,5,93,2,18,16,31,33,30,49,8,51,1,11,61,47,33,49,21,42,17,8,9,11,12,17,19,18,36,17,23,3,0,4,70,55,55,58,2,18,30,19,3,16,26,18,36,58,23,0,0,17,3,7,10,14,11,19,5,1,47,0,45,10,0.31
4,73,348,534,0,3,31,6,58,90,11,27,36,24,20,4,63,79,81,33,69,12,8,25,77,80,85,64,49,50,64,78,1,6,5,5,75,15,79,28,27,9,71,50,42,50,50,34,79,78,90,72,65,61,0,7,4,44,48,50,51,70,66,63,59,53,22,17,15,37,46,26,56,14,53,1,3,76,50,1,8,36,0,20,98,99,97,100,98,98,95,34,81,14,0,0,67,36,37,44,44,2,18,30,19,3,16,26,18,36,58,23,0,0,17,3,7,10,1,63,22,5,1,47,0,0,10,0.08
12,73,348,489,0,19,25,19,82,3,1,32,36,28,56,20,63,18,41,19,43,58,35,44,22,25,26,20,13,31,25,31,16,38,38,48,20,44,41,46,40,53,29,67,32,63,67,29,47,45,47,43,62,65,9,32,1,44,42,55,49,3,2,3,2,93,4,14,12,26,30,22,52,9,67,0,28,55,48,37,54,13,40,13,6,6,6,16,16,17,17,42,23,25,5,1,2,69,57,77,73,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,12,26,9,9,2,46,0,19,7,0.24
4,73,348,789,0,3,51,6,72,44,34,41,33,28,39,5,63,57,57,25,50,43,22,45,57,46,47,40,23,39,37,46,1,10,16,25,41,19,57,36,46,27,55,34,32,37,36,51,78,73,81,68,57,60,1,11,2,16,22,30,35,14,16,20,22,65,15,33,33,55,53,51,71,23,44,1,2,81,69,23,27,34,5,11,64,69,71,58,59,64,59,52,77,21,0,0,35,51,51,81,81,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,2,33,10,9,2,46,0,0,7,0.11
32,73,348,1806,0,1,47,1,67,3,57,32,29,24,87,0,0,17,6,49,50,91,41,69,16,14,17,17,7,37,16,14,3,59,69,64,10,33,17,58,23,67,22,28,23,27,28,51,62,55,56,48,19,33,1,30,2,66,75,71,70,85,86,75,68,35,76,73,64,48,27,85,49,54,74,0,1,84,60,17,36,31,38,30,10,8,7,25,25,23,25,52,54,21,1,0,56,35,45,52,50,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,1,27,4,9,2,46,0,0,7,0.22
31,73,348,20,0,2,45,24,63,10,22,44,50,39,34,0,0,16,47,88,33,41,48,45,15,18,20,18,15,32,15,16,3,48,36,42,25,49,43,10,51,29,37,45,25,47,47,42,65,59,65,64,38,37,1,23,0,37,41,44,53,8,8,8,9,79,7,22,22,45,36,56,38,21,50,1,6,36,42,26,72,21,65,39,6,6,8,15,20,21,20,30,38,21,1,0,9,36,32,33,6,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,4,14,0,9,2,46,0,0,7,0.13
25,42,494,1259,0,1,9,21,65,61,7,14,59,24,4,0,0,57,94,18,63,0,3,0,67,78,82,46,0,51,76,69,0,2,4,3,94,15,94,47,47,10,83,51,55,41,46,24,75,77,80,67,32,40,0,22,1,59,62,74,71,63,58,63,55,68,10,5,4,13,33,9,30,9,88,0,5,42,22,2,25,43,3,11,51,55,57,76,63,65,65,30,72,40,0,0,45,33,4,0,1,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,3,10,53,9,2,46,0,0,7,0.07
25,45,268,842,0,1,41,1,96,3,4,27,28,18,59,0,0,36,41,16,44,61,15,68,35,31,30,44,34,29,40,49,0,10,21,44,13,50,33,21,27,35,25,30,21,28,29,37,72,69,84,72,29,31,0,7,0,0,0,4,4,0,0,1,1,88,6,21,21,46,39,59,77,8,33,1,12,0,78,3,18,36,3,42,27,26,25,63,56,54,63,45,83,61,0,0,10,58,51,55,74,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,14,2,10,9,2,46,0,0,7,0.11
34,77,121,443,0,6,32,8,86,3,3,27,32,24,62,8,63,31,43,20,47,63,33,57,34,32,31,35,15,24,35,30,3,17,49,58,22,32,47,61,40,59,30,37,34,37,38,38,67,64,72,64,61,71,1,13,5,17,16,16,21,17,15,14,16,59,31,19,17,36,48,20,59,8,58,0,4,78,50,12,47,16,10,20,30,29,26,25,35,40,33,45,53,36,0,0,44,65,77,85,77,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,4,31,20,9,2,46,0,0,7,0.06
0,77,121,497,0,0,40,99,0,1,0,39,31,25,57,2,63,15,35,10,13,69,44,55,18,16,23,23,27,69,0,12,2,54,39,50,24,55,31,27,63,45,33,56,37,62,62,45,30,27,36,22,79,82,1,39,0,0,24,20,62,0,1,1,2,92,2,33,31,42,42,42,55,14,50,1,2,58,53,67,42,18,30,23,7,7,8,3,10,11,14,45,38,33,0,1,1,91,68,87,80,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,1,30,15,9,2,46,0,0,7,0.8
4,77,121,234,0,9,32,2,83,19,25,25,30,22,43,10,63,55,53,31,61,40,18,54,54,57,58,55,31,52,26,31,4,17,14,15,56,26,58,30,36,18,62,55,35,59,58,28,68,66,81,56,39,46,2,17,5,47,50,53,53,42,39,38,35,69,24,20,18,35,33,39,52,19,54,1,12,59,52,4,11,41,5,13,64,69,71,72,70,87,71,60,83,13,0,52,37,33,19,38,42,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,11,14,15,9,2,46,0,0,7,0.22
25,46,457,1206,0,2,68,2,80,63,7,30,27,25,55,4,63,77,71,19,77,52,2,51,71,59,58,32,5,48,42,64,1,7,21,23,48,17,46,35,39,19,55,7,36,8,7,55,93,87,92,84,0,10,0,6,3,31,42,43,41,39,47,45,40,58,18,30,34,69,63,72,91,6,10,1,0,90,91,0,9,18,2,5,68,66,65,87,98,98,99,31,46,31,1,0,55,40,89,81,71,4,16,28,16,4,12,22,16,61,66,10,0,0,7,3,7,68,3,20,32,9,2,46,0,0,7,0.17
